Region,District , 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE ,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE ,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL, 20+  (B/S &RDT) FEMALE , 20+  (B/S &RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Acholi,Nwoya District,25,26,51,12761,6471,19232,16007,6477,22484,6851,5249,12100,9834,9463,19297,18,24,42,24,6415,6439,15584,6353,21937,9696,9294,18990,6788,5221,12009,18,24,42,12354,6303,18657,99396,227418,326814,9489,9102,18591,6580,5086,11666,818,1527,2345,45478,27686,73164,15886,9489,25375,133506,220593,4679,1.051499558,189742.4238,40.5519179,2.6351,32.0028
West Nile,Obongi District,15,8,23,21368,13182,34550,17002,5982,22984,11246,9380,20626,20761,13519,34280,7,4,11,4,12699,12703,15107,5199,20306,12694,12212,24906,10468,9309,19777,22,21,43,18097,12182,30279,150010,335719,485729,12493,11915,24408,10422,9198,19620,459,963,1422,70392,42071,112463,19893,13527,33420,43061,142983,837,1.127509032,99752.62129,119.178759,3.4335,31.5827
Acholi,Omoro District,22,9,31,23022,10602,33624,21853,6638,28491,9999,7595,17594,12325,10899,23224,20,8,28,8,10461,10469,20812,6465,27277,12033,10656,22689,9858,7508,17366,20,8,28,22199,10390,32589,145344,313036,458380,12909,10536,23445,9805,7468,17273,1239,2850,4089,67221,35743,102964,17494,10908,28402,142875,207339,1483,1.037940541,185422.9869,125.032358,2.7152,32.492
Lango,Otuke District,5,4,9,11539,5267,16806,14874,4189,19063,7039,5291,12330,8881,8049,16930,5,4,9,4,5265,5269,14823,4179,19002,8870,8039,16909,7035,5286,12321,5,4,9,11436,5212,16648,91774,196414,288188,8814,7994,16808,6991,5255,12246,497,898,1395,42338,22800,65138,5240,8053,13293,104254,161069,1549,1.044460267,141363.1427,91.26090558,2.5214,33.3486
Lango,Oyam District,99,157,256,28417,12863,41280,36733,15250,51983,11760,8638,20398,15483,13961,29444,99,76,175,76,12809,12885,36402,15060,51462,15454,13932,29386,11797,8620,20417,98,76,174,27964,12607,40571,181096,423375,604471,15234,13775,29009,11549,8475,20024,2786,4740,7526,92492,50869,143361,23535,14118,37653,383644,477464,2196,1.022118437,447133.2492,203.6125907,2.2776,32.4467
Acholi,Pader District,68,42,110,43058,21629,64687,36633,11849,48482,20207,14763,34970,21495,20103,41598,52,36,88,36,21130,21166,34369,11371,45740,20921,19479,40400,19178,14430,33608,52,37,89,41825,21068,62893,273980,558706,832686,20918,19461,40379,19131,14451,33582,982,2064,3046,121461,68386,189847,24998,20145,45143,178004,240159,3326,1.030402516,219522.0426,66.00181678,2.9431,32.8084
West Nile,Pakwach District,74,63,137,18477,8693,27170,20904,8557,29461,10181,7819,18000,17651,16701,34352,76,60,136,60,7813,7873,18709,7914,26623,16601,15545,32146,9191,7006,16197,73,63,136,17835,8372,26207,149372,341107,490479,17093,16135,33228,9864,7550,17414,1128,2172,3300,67287,41833,109120,14983,16764,31747,158037,206961,877,1.027337104,190875.2386,217.6456541,2.4738,31.3999
Bukedi,Pallisa District,16,28,44,15672,8221,23893,23623,8194,31817,11992,9487,21479,15841,13689,29530,16,28,44,28,8169,8197,23559,8061,31620,15814,13640,29454,11960,9471,21431,16,28,44,15290,8002,23292,148442,324973,473415,15320,13357,28677,11616,9204,20820,1061,2089,3150,67144,39619,106763,6153,13717,19870,275128,334697,796,1.01979224,315585.2605,396.463895,1.2009,33.7071
South Central,Rakai District,4,4,8,17074,13252,30326,19333,10758,30091,8139,7118,15257,6129,6015,12144,4,4,8,4,13218,13222,19317,11773,31090,6122,6003,12125,8119,7108,15227,3,4,7,16843,13100,29943,114604,240506,355110,6091,5936,12027,8022,7045,15067,313,830,1143,50679,37147,87826,8380,6019,14399,276746,346885,1528,1.02284639,324156.1533,212.1440794,0.7083,31.3542
Kigezi,Rubanda District,0,0,0,138,253,391,582,1167,1749,38,55,93,104,87,191,0,0,0,0,245,245,559,1157,1716,100,83,183,33,51,84,0,0,0,130,238,368,1270,5498,6768,98,80,178,33,49,82,14,19,33,862,1562,2424,64,87,151,196896,249454,660,1.023942002,232361.6216,352.063063,1.1517,29.8352
Ankole,Rubirizi District,4,5,9,3686,3037,6723,4826,3007,7833,1760,1521,3281,1579,1402,2981,4,4,8,4,3009,3013,4665,2942,7607,1565,1389,2954,1748,1518,3266,4,4,8,3586,2961,6547,25550,55880,81430,1540,1347,2887,1726,1493,3219,54,163,217,11855,8972,20827,1580,1407,2987,129149,168211,1096,1.026777479,155390.831,141.7799553,0.2642,30.1084
Kigezi,Rukiga District,0,0,0,894,774,1668,1203,947,2150,468,409,877,424,400,824,0,0,0,0,769,769,1166,925,2091,420,390,810,464,401,865,0,0,0,774,675,1449,6248,13981,20229,359,322,681,385,336,721,3,35,38,2989,2530,5519,63,400,463,100726,132355,426,1.027684666,121944.0804,286.2537099,1.1326,30.0434
Kigezi,Rukungiri District,3,2,5,7142,5861,13003,10124,7154,17278,2950,2593,5543,3206,2973,6179,2,18,20,18,5679,5697,9168,6787,15955,2989,2766,5755,2807,2491,5298,2,2,4,6780,5623,12403,46920,110940,157860,2946,2757,5703,2784,2479,5263,109,390,499,23425,18583,42008,3994,2975,6969,314694,376110,1381,1.017987961,356522.5098,258.1625705,0.7518,29.9278
Ankole,Rwampara District,2,0,2,467,393,860,1642,936,2578,170,135,305,183,166,349,2,0,2,0,385,385,1595,920,2515,181,161,342,169,132,301,2,0,2,449,382,831,2952,9877,12829,181,171,352,164,130,294,6,16,22,2464,1630,4094,353,166,519,127725,162967,542,1.024666118,151479.0396,279.4816229,0.7476,30.482
South Central,Sembabule District,21,3,24,7986,6193,14179,12023,7905,19928,4128,3413,7541,4327,3752,8079,1,3,4,3,6045,6048,11440,7565,19005,4220,3655,7875,4010,3341,7351,1,3,4,7882,6107,13989,58438,137422,195860,4270,3654,7924,4043,3377,7420,244,704,948,28485,21266,49751,5336,3755,9091,252597,305971,2317,1.019354414,288871.4641,124.6747795,0.0638,31.3542
Teso,Serere District,8,6,14,21993,10075,32068,20569,6329,26898,11431,8844,20275,9277,8986,18263,7,6,13,6,9996,10002,19662,6138,25800,9003,8636,17639,11345,8775,20120,7,6,13,21184,9878,31062,137668,279106,416774,8879,8516,17395,11181,8634,19815,1056,1891,2947,63278,34240,97518,3756,8992,12748,285903,358123,1495,1.022777935,334725.0102,223.8963279,1.4994,33.549
Ankole,Sheema District,1,0,1,312,321,633,751,569,1320,109,102,211,114,118,232,1,0,1,0,315,315,693,525,1218,105,106,211,105,97,202,1,0,1,304,315,619,2066,5940,8006,105,106,211,104,96,200,3,16,19,1287,1110,2397,286,118,404,207343,252275,327,1.019808162,237858.5482,727.3961719,0.5515,30.3897
Bugisu,Sironko District,40,21,61,8147,4661,12808,18005,11796,29801,3831,2868,6699,5033,4116,9149,39,21,60,21,4417,4438,16765,8982,25747,4607,3826,8433,3639,2702,6341,40,21,61,7684,4395,12079,53828,155338,209166,4600,3773,8373,3605,2686,6291,459,1152,1611,35056,23462,58518,5752,4137,9889,242421,298363,383,1.020980559,280344.8273,731.9708284,1.2302,34.2491
Teso,Soroti City,52,53,105,12266,5711,17977,23600,9493,33093,4829,4097,8926,6590,6384,12974,50,49,99,49,5607,5656,21887,8592,30479,5952,5639,11591,4513,3756,8269,49,46,95,11033,5179,16212,72334,193010,265344,5638,5344,10982,4267,3564,7831,341,767,1108,47337,25738,73075,7018,6437,13455,98501,134199,205,1.031408875,122308.5134,596.6268947,,
Teso,Soroti District,24,25,49,20058,8227,28285,24422,7736,32158,8636,6681,15317,8646,7912,16558,22,23,45,23,8227,8250,24419,7734,32153,8646,7923,16569,8636,6688,15324,22,23,45,19588,8067,27655,119186,270390,389576,8523,7805,16328,8513,6599,15112,2206,4108,6314,61786,30581,92367,10148,7937,18085,198332,266189,1034,1.029863654,243697.4084,235.6841474,1.7229,33.528
South Central,South Central,799,751,1550,108782,89282,198064,188853,125932,314785,60076,55863,115939,65146,62226,127372,414,359,773,359,80436,80795,153316,102687,256003,52994,50284,103278,52164,47177,99341,359,253,612,96838,80521,177359,761180,2265906,3027086,53237,169301,222538,51988,47185,99173,2784,9875,12659,423656,334054,757710,81746,62977,144723,,,,#DIV/0!,#DIV/0!,#DIV/0!,,
West Nile,Terego District,93,64,157,47352,25849,73201,51349,17065,68414,23018,17658,40676,28048,27036,55084,74,50,124,50,23177,23227,39585,13947,53532,24019,23117,47136,20892,15895,36787,128,90,218,39931,23794,63725,295732,695329,991061,25103,23180,48283,21276,16235,37511,1606,4591,6197,149860,87672,237532,36283,27100,63383,199303,323253,1200,1.049549371,279597.9261,232.9982717,3.171,31.1252
Teso,Teso,258,230,488,181978,86548,268526,220194,85544,305738,86526,66278,152804,91325,84593,175918,251,213,464,213,85689,85902,216294,83526,299820,89588,82766,172354,85593,65337,150930,249,228,477,177271,84336,261607,1170736,2617765,3788501,88014,81351,169365,84413,64785,149198,11906,23606,35512,580281,323193,903474,102667,84823,187490,1819708,2462387,11650,1.030707558,2248795.316,193.0296409,1.7159,33.6111
Tooro,Tooro,424,308,732,114371,82409,196780,180438,106462,286900,57898,47955,105853,71205,64425,135630,353,338,691,338,78392,78730,167053,100774,267827,67044,60575,127619,55120,45553,100673,345,213,558,106899,77648,184547,826794,2009925,2836719,66125,59689,125814,54382,44837,99219,3730,9132,12862,424336,301559,725895,82345,64733,147078,1587531,2154161,8383,1.03099271,1965673.468,234.4832957,0.3886,30.3436
Bukedi,Tororo District,73,68,141,27118,16603,43721,37366,15950,53316,19424,15987,35411,24174,22213,46387,71,65,136,65,16386,16451,36478,15411,51889,23623,21696,45319,19196,15820,35016,73,66,139,26325,16214,42539,246026,532611,778637,23432,21523,44955,18981,15677,34658,1179,2094,3273,108155,70821,178976,8887,22281,31168,1881415,2372489,4504,1.023462561,2213035.221,491.3488502,0.3886,30.3436
South Central,Wakiso District,654,577,1231,32041,26185,58226,75301,53852,129153,21223,20772,41995,27478,26158,53636,315,229,544,229,19383,19612,50271,35251,85522,17831,16499,34330,14787,13299,28086,263,188,451,23613,19588,43201,212136,734357,946493,18122,16758,34880,14706,13287,27993,981,4008,4989,156697,127544,284241,30151,26735,56886,1997418,3411177,1884,1.054978307,2905184.15,1542.029804,0.063,32.4467
West Nile,West Nile,687,549,1236,371915,222216,594131,429386,153254,582640,215126,167241,382367,289206,267892,557098,486,431,917,431,211404,211835,372585,141041,513626,265994,252502,518496,202656,158889,361545,525,463,988,350151,211713,561864,2885786,6413552,9299338,267154,251844,518998,207838,159072,366910,14860,32803,47663,1306320,811152,2117472,311466,268441,579907,2296403,3316255,10757,1.037432815,2970078.815,276.1066111,,
West Nile,Yumbe District,49,52,101,66544,40191,106735,95463,24810,120273,44407,36565,80972,67720,64500,132220,40,39,79,39,38122,38161,67085,23388,90473,64864,62338,127202,41578,34135,75713,40,56,96,62955,37641,100596,607214,1369103,1976317,63872,61007,124879,41259,33624,74883,2389,4689,7078,274183,166118,440301,74821,64552,139373,484822,945100,2323,1.069029142,773586.9412,333.012028,3.4698,31.2483
West Nile,Zombo District,23,19,42,16038,9930,25968,22005,9543,31548,8409,7044,15453,15908,14975,30883,5,,5,4,9724,9728,20533,9039,29572,14880,14001,28881,8232,6912,15144,,,0,15305,9104,24409,136868,306841,443709,14137,13279,27416,7823,6569,14392,652,1124,1776,62383,41511,103894,11885,14994,26879,240081,312621,939,1.02675313,288815.1967,307.5774193,2.4882,30.8499
,GRAND TOTALS,11146,9204,20350,3979302,2410314,6389616,5593680,2695638,8289318,2228832,1775910,4004742,3027578,2762920,5790498,7548,6284,,6288,2280854,,5132068,2466170,,2847986,2609134,,2115510,1687124,,7562,5930,,3736626,2326940,,,,,2831962,2827254,,2111716,1675938,,209232,448174,,14840538,9653986,24494524,3400882,2772124,6173006,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21288,,,,,,,,,,,,,,,,,,,,,,,,,,,
